Name	SMILES	Formula	ƒÂD	ƒÂP	ƒÂH	ƒÂHDon	ƒÂHAcc	MWt	Density	MVol
"SODIUM_PHOSPHATE,_TRIBASIC,_ANHYDROUS"	Error									
METAPHOSPHORIC_ACID	O=P1(O)OP(=O)(O)OP(=O)(O)O1	H3O9P3	29.15	38.94	54.69	28.7	34.8	239.9	2.492	96.3
Sodium_trimetaphosphate	Error									
Sodium_tetrametaphosphate	Error									
Calcium_hexametaphosphate	Error									
SODIUM_POLYMETAPHOSPHATE	Error									
Calcium_hypophosphite	Error									
Manganous_hypophosphite	Error									
Potassium_hypophosphite	Error									
"SODIUM_1,2-ETHANEDISULFONATE"	Error									
CYCLAMIC_ACID	O=S(=O)(O)NC1CCCCC1	C6H13NO3S	18.87	13.33	17.44	17.2	12.8	179.2	1.278	140.3
Sulfuric_Acid	O=S(=O)(O)O	H2O4S	21.6	22.63	43.85	33.1	32.6	98.1	1.926	50.9
BENZENESULFONIC_ACID	O=S(=O)(O)c1ccccc1	C6H6O3S	20.14	14.77	18.38	11.7	13.9	158.2	1.402	112.8
HYDROXYETHYLPIPERAZINE_ETHANE_SULFONIC_ACID	Error									
SODIUM_CYCLAMATE	Error									
SODIUM_BISULFATE	Error									
Ferric_sulfate_(packaging)	Error									
Aluminum_sulfate	Error									
BARIUM_SULFATE	Error									
CALCIUM_SULFATE_ANHYDROUS	Error									
Copper_(cupric)_sulfate	Error									
Ferrous_sulfate_(packaging)	Error									
MAGNESIUM_SULFATE_ANHYDROUS	Error									
Manganous_sulfate	Error									
SODIUM_SULFATE_ANHYDROUS	Error									
FD&C_YELLOW_NO._6-ALUMINUM_LAKE	Error									
SODIUM_2-NAPHTHALENESULFONATE	Error									
METANIL_YELLOW	Error									
SULFUROUS_ACID	O=S(O)O	H2O3S	25	18.23	43.07	29.4	33.5	82.1	1.62	50.7
SODIUM_FORMALDEHYDE_SULFOXYLATE	Error									
POTASSIUM_BISULFITE	Error									
Sodium_metabisulfite	Error									
Potassium_metabisulfite	Error									
Sodium_hydrosulfite_(packaging)	Error									
Zinc_hydrosulfite_(packaging)	Error									
Sodium_bisulfite	Error									
Sulfur_dioxide	Error									
SODIUM_PHOSPHATE_P-32	Error									
Sodium_phosphoaluminate_(packaging)	Error									
ALUMINUM_OXIDE	O=[Al]O[Al]=O	HAlO2	19.91	14.26	36.2	23	28.9	33	1.314	25.1
BISMUTH_SUBCARBONATE	O=[Bi]OC(=O)O[Bi]=O	CB2O5	17.09	12.67	15.46	0.1	13.7	113.6	2.386	47.6
Calcium_oxide	O=[Ca]	H2O	15.64	15.97	41.98	35.4	23.1	18	1.002	18
Tricalcium_silicate	Error									
Iron_oxides_(packaging)	O=[Fe]	FO	14.35	20.93	18.35	0.1	16.5	35	1.206	29
Magnesium_oxide	O=[Mg]	H2O	15.64	15.97	41.98	35.4	23.1	18	1.002	18
Manganous_oxide	O=[Mn]	NO	17.46	24.4	14.04	0.1	15.1	30	1.276	23.5
NITRIC_ACID	Error									
PHENYLMERCURIC_NITRATE	O=[N+]([O-])O[Hg]c1ccccc1	C6H5NO3	18.52	7.82	5.81	0.1	7	139.1	1.255	110.9
MAGNESIUM_NITRATE	Error									
SODIUM_NITRATE	Error									
Talc_(basic_magnesium_silicate)	Error									
Potassium_silicate	Error									
ALUMINUM_SILICATE_PENTAHYDRATE	Error									
Sodium_aluminosilicate	Error									
Calcium_silicate	Error									
Silicon_dioxides	O=[Si]=O	O2Si	14.62	12.14	7.79	0.5	9	60.1	1.655	36.3
TITANIUM_DIOXIDE	Error									
Zinc_oxide	O=[Zn]	NO	17.46	24.4	14.04	0.1	15.1	30	1.276	23.5
D&C_BLUE_NO._9	O=c1c2ccccc2c(=O)c2c1cc(Cl)c1[nH]c3c([nH]c12)c(Cl)cc1c(=O)c2ccccc2c(=O)c13	C28H10Cl2N2O4	22.52	2.83	1.43	0.1	5.2	509.3	1.598	318.7
BORIC_ACID	OB(O)O	H3BO3	21.78	1.67	60.93	44.3	44.1	61.8	1.484	41.7
Inositol	OC1C(O)C(O)C(O)C(O)C1O	C6H12O6	17.04	13.02	22.46	32.7	21.6	180.2	1.063	169.5
Sorbitol	OCC(O)C(O)C(O)C(O)CO	C6H14O6	17.34	11.22	29.88	22.3	20.5	182.2	1.127	161.7
XYLITOL	OCC(O)C(O)C(O)CO	C5H12O5	17.65	11.5	28.94	20.1	21.1	152.1	1.162	131
MALTITOL	OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO	C12H24O11	16.98	9.61	20.12	30	17.5	344.3	1.143	301.2
ERYTHRITOL	OCC(O)C(O)CO	C4H10O4	18.07	11.99	28.1	20	21.4	122.1	1.208	101.1
SORBITAN	OCC(O)C1OCC(O)[C@@H]1O	C6H12O5	17.71	10.95	22.43	17.3	18	164.2	1.147	143.1
Glycerin_and_Glycerides	OCC(O)CO	C3H8O3	18.33	12.69	27.83	21	21.1	92.1	1.228	75
