Name	SMILES	Formula	ƒÂD	ƒÂP	ƒÂH	ƒÂHDon	ƒÂHAcc	MWt	Density	MVol
DB00251	CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1	C26H31Cl2N5O3	20.9	9.28	5.41	0.5	4.5	532.5	1.279	416.4
DB00252	O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	C15H12N2O2	19.82	5.76	7.36	4.2	5.8	252.3	1.234	204.4
DB00253	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C	C22H32O3	18.34	6.55	4.79	3.5	4.1	344.5	1.076	320.3
DB00254	[H][C@@]12[C@@H](C)C3=C(C(O)=CC=C3)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O	C22H24N2O8	19.16	15.56	12.82	8.1	12.8	444.4	1.366	325.4
DB00255	CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	C18H20O2	19.18	4.74	9.82	8.5	4.6	268.3	1.078	248.8
DB00256	[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C	C29H38N4O10	18.89	15.04	3.57	1.7	12.9	602.6	1.382	436.1
DB00257	ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1	C22H17ClN2	20.44	3.23	1.95	0.1	2.4	344.8	1.18	292.2
DB00258	Error									
DB00259	NC1=CC=C(C=C1)S(N)(=O)=O	C6H8N2O2S	20.61	17.51	14.58	10.7	10.4	172.2	1.419	121.4
DB00260	N[C@@H]1CONC1=O	C3H6N2O2	19.1	17.56	13.67	8.9	8.9	102.1	1.252	81.6
DB00261	ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl	C10H7Cl2N3O	21.34	17.76	6.31	7.7	3.6	256.1	1.675	152.9
DB00262	ClCCNC(=O)N(CCCl)N=O	C5H9Cl2N3O2	18.52	16.27	9.62	6.3	7.6	214.1	1.443	148.4
DB00263	CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C	C11H13N3O3S	19.86	15.03	11.38	7.8	8.2	267.3	1.364	195.9
DB00264	COCCC1=CC=C(OCC(O)CNC(C)C)C=C1	C15H25NO3	17.5	5.93	7.35	3.4	7.6	267.4	1.037	257.9
DB00265	CCN(C(=O)C=CC)C1=CC=CC=C1C	C13H17NO	18.49	7.06	5.12	3.2	5	203.3	1.011	201
DB00266	OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2	C19H12O6	18.65	6.76	12.6	11.3	12	336.3	1.175	286.2
DB00267	[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O	C16H17N9O5S3	20.86	15.64	13.47	4.2	9.3	511.6	1.577	324.4
DB00268	CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1	C16H24N2O	18.06	8.54	4.64	2.3	3.8	260.4	1.057	246.4
DB00270	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C	C19H21N3O5	17.92	5.2	6.5	0.3	7.6	371.4	1.228	302.4
DB00271	CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I	C11H9I3N2O4	22.84	14.6	13.93	10.7	6.8	613.9	2.621	234.2
DB00272	NCCC1=CC=NN1	C5H9N3	18.98	10.74	12.42	9.3	8.2	111.2	1.072	103.7
